listing_id,complex_name,address,price_total,bedrooms,baths,sqft,lat,lon,description,amenities,pets_allowed,has_parking,laundry_type,post_date,url
cl_7913608777,Anderson Place Apartments lease takeover,"1850 Hanover Dr, Davis, CA 95616",2195,1,1,600,38.559641,-121.755477,"Quiet, pet-friendly, updated 1 bed/1 bath on the second floor, with flexible move-in at the end of June or in July 2026. Just 1 mile from campus and near multiple bus lines (G, J, P, Q, 42A, 42B, 44). SaveMart and many food spots across the street. Green, well-kept property with professional management. Amenities include free parking, fast free Wi-Fi, 24/7 study room, café, pool, fitness center, free printing, and more. Enjoyed living here, but moving out of Davis. Rent $2,195/month + $20/person for city utilities (water, sewage, garbage) + PG&E","available jul 1, rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, laundry on site, off-street parking, 1BR / 1Ba, 600ft2",TRUE,TRUE,on-site,2026-02-06T22:16:56-0800,https://sacramento.craigslist.org/apa/d/davis-anderson-place-apartments-lease/7913608777.html
cl_7919817271,"Rare Opportunity: 2 BR/2 BA with Built-in Dining Table, Concierge","3000 Lillard Drive, Davis, CA 95618",2080,2,2,837,38.543282,-121.714159,"Renaissance Park Apartments 3000 Lillard Drive, Davis, CA, 95618 Follow This Link for More Information: https://firstpointmanagementgroup.com/lnmdox Call Now - show contact info x 29 The Ultimate Davis Location For Living 2 Bedroom, 2 Bath | Approximately 837 Sq. Ft. Community Info: Discover spacious floor plans, top-tier amenities, and a connected address that offers the best of both nature and city living. Tree-lined streets lead to a resort-style community with a pool, game lounge, running path, and more-everything you've been looking for, and then some. Unit Highlights ✧ Dishwasher ✧ Washer/Dryer in Select Homes ✧ Central Heat and Air ✧ Built-in Dining Table ✧ Wood Inspired Flooring ✧ Cable Ready ✧ Granite Countertops [ 1 ] ✧ Private Patio or Balcony ✧ Vaulted Ceilings [ 1 ] ✧ Refrigerator 1. Only available in select apartments Community Highlights ✧ Pool ✧ On-Site Management ✧ Courtyard ✧ Business Center ✧ Near Public Transportation ✧ BBQ/Picnic Area ✧ High Speed Wireless Internet ✧ On-Site Maintenance ✧ Pet-Friendly Community ✧ 24-Hour Fitness Center ✧ Online Resident Portal ✧ 1/2 Mile Running Path ✧ Car Washing Area ✧ Study Lounge ✧ Concierge Pet Policy Dogs & Cats Allowed Max 2 Allowed Rent $30 | Deposit $500 Comments: Breed restrictions apply. A deposit and rent charge is required for each pet. Equal Housing Opportunity 0Wowue3JiJq","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, w/d in unit, furnished, off-street parking, air conditioning, EV charging, 2BR / 2Ba, 837ft2",TRUE,TRUE,in-unit,2026-03-07T17:10:48-0800,https://sacramento.craigslist.org/apa/d/davis-rare-opportunity-br-ba-with-built/7919817271.html
cl_7919817342,Exceptional 1 BR Apartment Near Bike Path,"920 Cranbrook Ct., Davis, CA 95616",1850,1,1,600,38.559577,-121.741559,"This is a 1 Bedroom, 1 Bath, Approximately 600 Sq. Ft. More unit details at: https://firstpointmanagementgroup.com/w9kdyk Call Now - show contact info x 36 The Epicenter of Luxury & Convenience Community Info: Settle into the perfect spot to continue your college journey. Surrounded by lush greenery, the peaceful atmosphere is ideal for both study and relaxation. Inviting shared spaces offer room to recharge, while fully equipped apartments provide everything you need to thrive day-to-day. Plus, a friendly on-site team is available around the clock to offer support whenever you need it. Ideally located just off E Covell Boulevard, this community places you within walking distance of Community Park, about a mile from UC Davis, and only 15 miles from the heart of Sacramento. Explore the floor plans and schedule your tour today to see it all for yourself! Features: ‣ Air Conditioner ‣ Ceiling Fan ‣ Kitchen Pantry ‣ Refrigerator ‣ Large Closets ‣ Dishwasher ‣ Microwave ‣ Harwood Inspired Flooring Community Amenities: ‣ Online Resident Portal ‣ Sparkling Pool ‣ Laundry Facilities ‣ Near Public Transportation ‣ BBQ/Picnic Area ‣ On-Site Management ‣ Near Bike Path ‣ On-Site Maintenance ‣ Fitness Center ‣ Available 24/7 Pet Policy: Dogs & Cats Allowed Max 2 Allowed Rent $30 | Deposit $500 (1st pet), $250 (2nd pet) Comments: Breed restrictions apply. A deposit and rent charge is required for each pet. Office Hours: Monday-Friday: 9:00AM-6:00PM Saturday: 10:00AM-5:00PM Pinecrest Apartments 920 Cranbrook Ct., Davis, CA, 95616 Equal Housing Opportunity AIoyN8lMj05","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, laundry on site, off-street parking, air conditioning, 1BR / 1Ba, 600ft2",TRUE,TRUE,on-site,2026-03-07T17:11:10-0800,https://sacramento.craigslist.org/apa/d/davis-exceptional-br-apartment-near/7919817342.html
cl_7919804657,Convenient 2 BR with Sparkling Pool,"920 Cranbrook Ct., Davis, CA 95616",2125,2,2,800,38.559577,-121.741559,"Beds: 2 Baths: 1 Square Feet: 800 Use this link for more info: https://firstpointmanagementgroup.com/ebtooh The Epicenter of Luxury & Convenience Call Now - show contact info x 35 Community Info Location, Lifestyle, and Quality Living - It All Begins Here The ultimate highlight might just be the unbeatable location, where vibrant downtown energy surrounds you. Enjoy seamless access to local favorites, from shopping at Oak Tree Plaza to peaceful strolls through the UC Davis Arboretum and Public Garden. Outdoor enthusiasts and cyclists alike will appreciate being just steps from the scenic bike trail along E Covell Boulevard. This is where convenience and connection come together effortlessly. Residence Features ✩ Large Closets ✩ Dishwasher ✩ Air Conditioner ✩ Kitchen Pantry ✩ Refrigerator ✩ Ceiling Fan ✩ Microwave ✩ Harwood Inspired Flooring Community Features ✩ Available 24/7 ✩ On-Site Maintenance ✩ Near Bike Path ✩ BBQ/Picnic Area ✩ Sparkling Pool ✩ Near Public Transportation ✩ Fitness Center ✩ Online Resident Portal ✩ Laundry Facilities ✩ On-Site Management Pet Policy Dogs & Cats Allowed Max 2 Allowed Rent $30 | Deposit $500 (1st pet), $250 (2nd pet) Comments: Breed restrictions apply. A deposit and rent charge is required for each pet. Office Hours Monday-Friday: 9:00AM-6:00PM Saturday: 10:00AM-5:00PM Equal Housing Opportunity VeZ1zDRI","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, laundry on site, off-street parking, air conditioning, 2BR / 1Ba, 800ft2",TRUE,TRUE,on-site,2026-03-07T15:49:58-0800,https://sacramento.craigslist.org/apa/d/davis-convenient-br-with-sparkling-pool/7919804657.html
cl_7919780340,FALL MOVE INS AVAILABLE AT UNIVERSITY COURT,,1995,1,,635,38.5538,-121.7418,"University Court offers an unparalleled living experience that combines all the comforts of home with an array of awesome amenities. From our community free WIFI, BBQ area, fire pit, outdoor ping pong, and foosball stations, sparkling pool, and fitness center, our amazing community gives you endless opportunities to unwind and recharge in your off time. Plus, our fully furnished apartments near UC Davis offer plenty of private space to work in peace. If you want to get away for a day or a weekend, we are located a couple hours from San Francisco, Napa Valley, Lake Tahoe, and Santa Cruz. A balanced lifestyle is what University Court is all about. Whether you're working on your backstroke in the sparkling swimming pool, working on your abs in the fitness center, or working on your next business proposal in the onsite business center, everything you need is always within reach at our community! Give us a call to schedule a virtual or self-guided tour and let us show you how awesome apartment living can be!","application fee details:, $60, rent period:, monthly, apartment, laundry on site, off-street parking, no smoking, air conditioning, 1BR / 1Ba, 635ft2",FALSE,TRUE,on-site,2026-03-07T13:42:24-0800,https://sacramento.craigslist.org/apa/d/davis-fall-move-ins-available-at/7919780340.html
cl_7919774697,Luxurious Living at Its Finest: 2 BR/2 BA with Pool Access,"3000 Lillard Drive, Davis, CA 95618",2080,2,2,837,38.543282,-121.714159,"Renaissance Park Apartments 3000 Lillard Drive, Davis, CA, 95618 Call Now - show contact info x 27 Want more info? See the link below: https://firstpointmanagementgroup.com/k4wrsv The Ultimate Davis Location For Living 2 bedroom | 2 bath | 837 square feet Features ✓ Cable Ready ✓ Refrigerator ✓ Private Patio or Balcony ✓ Washer/Dryer in Select Homes ✓ Granite Countertops [ 1 ] ✓ Built-in Dining Table ✓ Wood Inspired Flooring ✓ Dishwasher ✓ Central Heat and Air ✓ Vaulted Ceilings [ 1 ] 1. Only available in select apartments Community Features ✓ 1/2 Mile Running Path ✓ Business Center ✓ On-Site Maintenance ✓ Pool ✓ Study Lounge ✓ Courtyard ✓ Car Washing Area ✓ Concierge ✓ 24-Hour Fitness Center ✓ Near Public Transportation ✓ High Speed Wireless Internet ✓ Pet-Friendly Community ✓ On-Site Management ✓ Online Resident Portal ✓ BBQ/Picnic Area Community Info Discover spacious floor plans, top-tier amenities, and a connected address that offers the best of both nature and city living. Tree-lined streets lead to a resort-style community with a pool, game lounge, running path, and more-everything you've been looking for, and then some. Pet Policy Dogs & Cats Allowed Max 2 Allowed Rent $30 | Deposit $500 Comments: Breed restrictions apply. A deposit and rent charge is required for each pet. Equal Housing Opportunity GYMrM6AwR","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, w/d in unit, furnished, off-street parking, air conditioning, EV charging, 2BR / 2Ba, 837ft2",TRUE,TRUE,in-unit,2026-03-07T13:17:44-0800,https://sacramento.craigslist.org/apa/d/davis-luxurious-living-at-its-finest-br/7919774697.html
cl_7919789017,Stunning 1 BR/1 BA with Granite Countertops & Billiards Table,"3000 Lillard Drive, Davis, CA 95618",1735,1,1,675,38.543282,-121.714159,"This is a 1 Bedroom, 1 Bath, Approximately 675 Sq. Ft. See our property details here: https://firstpointmanagementgroup.com/x2k0c0 Call Now - show contact info x 28 The Ultimate Davis Location For Living Community Info: Discover spacious floor plans, top-tier amenities, and a connected address that offers the best of both nature and city living. Tree-lined streets lead to a resort-style community with a pool, game lounge, running path, and more-everything you've been looking for, and then some. Features: ‣ Washer/Dryer in Select Homes ‣ Built-in Dining Table ‣ Wood Inspired Flooring ‣ Dishwasher ‣ Private Patio or Balcony ‣ Refrigerator ‣ Central Heat and Air ‣ Vaulted Ceilings [ 1 ] ‣ Granite Countertops [ 1 ] ‣ Cable Ready 1. Only available in select apartments Community Amenities: ‣ On-Site Maintenance ‣ Concierge ‣ Pet-Friendly Community ‣ Study Lounge ‣ Pool ‣ Near Public Transportation ‣ 24-Hour Fitness Center ‣ BBQ/Picnic Area ‣ Business Center ‣ Courtyard ‣ Online Resident Portal ‣ 1/2 Mile Running Path ‣ High Speed Wireless Internet ‣ Car Washing Area ‣ On-Site Management Pet Policy: Dogs & Cats Allowed Max 2 Allowed Rent $30 | Deposit $500 Comments: Breed restrictions apply. A deposit and rent charge is required for each pet. Renaissance Park Apartments 3000 Lillard Drive, Davis, CA, 95618 Equal Housing Opportunity pNS3ghtNg","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, w/d in unit, furnished, off-street parking, air conditioning, EV charging, 1BR / 1Ba, 675ft2",TRUE,TRUE,in-unit,2026-03-07T14:21:46-0800,https://sacramento.craigslist.org/apa/d/davis-stunning-br-ba-with-granite/7919789017.html
cl_7919783294,New 4 Bed / 3 Bath Home | Gigabit Internet Included | Backyard Near Pa,"1648 Colusa Ave, Davis, CA 95616",4850,4,3,,38.553694,-121.768595,"New 4 Bed / 3 Bath Home | Gigabit Internet Included | Backyard Near Park + Bike Path 1648 Colusa Ave, Davis, CA 95616 4850.00 / Month 4 BEDROOMS | 3 BATHROOMS Interested? Fill out this form : https://renter.turbotenant.com/general-prescreener/T3duZXI6ODczNTAz?property=2145126&source=cl Have questions? Contact the Landlord : https://rental.turbotenant.com/p/1648-colusa-ave-davis-ca/2145126?source=craigslist Property Description: Welcome to 1650 Colusa Ave—a spacious, updated 4-bedroom, 3-bath home in Davis. This property feels brand new and features a backyard with direct access to the park, greenbelt, and bike paths for an easy commute to UC Davis. Key Features: Inclusive Value: Rent includes Gigabit WiFi, water, and garbage. Prime Location: Quick bike ride to campus, downtown, and shopping. Builder Managed: Professional, responsive maintenance for peace of mind. Lease Details: Available: Immediately or start of school year. Term: Ends August 31st (with option to renew). Owner/Manager: Darish Damon (CA DRE# 01710422) Property Type : Pets : Cats, Small Dogs Allowed Smoking : NO Lease Term : 4850.00 / Month 4850.00 Deposit Lease Length: One Year Available: 09/01/2025 Occupancy Limit: No Limit Utilities Included : Garbage Recycling Internet Sewage Water Appliances : Dishwasher Dryer Freezer Garbage Disposal Microwave Refrigerator Washer Amenities : Near Parks Wired For Internet Heating & Cooling : Forced Air Central Interested? Fill out this form : https://renter.turbotenant.com/general-prescreener/T3duZXI6ODczNTAz?property=2145126&source=cl Have questions? Contact the Landlord : https://rental.turbotenant.com/p/1648-colusa-ave-davis-ca/2145126?source=craigslist","available now, rent period:, monthly, cats are OK - purrr, dogs are OK - wooof, w/d in unit, air conditioning, 4BR / 3Ba",TRUE,FALSE,in-unit,2026-03-07T13:55:18-0800,https://sacramento.craigslist.org/apa/d/davis-new-bed-bath-home-gigabit/7919783294.html
cl_7919752863,Your Dream Apartment Is Just A Phone Call Away! 📞✨,"1880 Cowell Blvd., Davis, CA, CA 95618",3399,3,2,1300,38.539724,-121.729481,"Come Home to Tanglewood Apartment Homes! We are currently offering virtual and in-person tours through our beautiful apartment homes! Beautiful 1st and 2nd floor apartments available for a Fall 2026 move in! 3 bedrooms / 2 bathrooms / 1300sqft Tanglewood Apartment Homes 1880 Cowell BLVD / Davis, CA 95618 Property Website: www.TanglewoodDavisLiving.com Call Us Today show contact info Our stunning complex offers 1300sqft of comfortable living space, perfectly located just minutes from Downtown Davis and the university campus. Enjoy easy access to everything you need, including shopping, dining, and public transport. Residents of Tanglewood enjoy incredible community amenities, including: 24hr Fitness Studio 2 - 24hr Study Lounges Free Wi-Fi in all amenities Coffee Bar 2 - Pools & Spa Hot Tubs Fire Pit & BBQ Grills Pet-Friendly Community And So Much More! Each apartment is fully equipped with central heating and air, washer and dryer, refrigerator, stove, microwave, and a cozy wood-burning fireplace for chilly nights. All units come with a detached storage unit, perfect for bike parking or extra storage! We also provide onsite maintenance (with a quick 24-72 hour response time) and free pest control services every Monday. Tanglewood is conveniently located just 3 minutes from Downtown and only two stoplights away from the nearest grocery store, boba, and a pet store!! Don't miss out on this amazing location and all the fantastic features we offer! Contact us today for more information or to schedule a tour. Office Hours are: Monday - Friday 8:00am - 5:00pm Saturday 10:00am - 4:00pm *** PRICING AND AVAILABILITY ARE SUBJECT TO CHANGE, SO DON'T HESITATE! CALL NOW TO SCHEDULE YOUR APPOINTMENT TODAY! ***","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, w/d in unit, carport, air conditioning, 3BR / 2Ba, 1300ft2",TRUE,TRUE,in-unit,2026-03-07T11:50:10-0800,https://sacramento.craigslist.org/apa/d/davis-your-dream-apartment-is-just/7919752863.html
cl_7919772471,Exceptional 2 BR Apartment Near Bike Path,"920 Cranbrook Ct., Davis, CA 95616",2050,2,1,800,38.559577,-121.741559,"Pinecrest Apartments 920 Cranbrook Ct., Davis, CA, 95616 Follow The Link Below: https://firstpointmanagementgroup.com/iqpxkk Call Now - show contact info x 34 The Epicenter of Luxury & Convenience 2 Bedroom, 1 Bath | Approximately 800 Sq. Ft. Community Info: Location, Lifestyle, and Quality Living - It All Begins Here The ultimate highlight might just be the unbeatable location, where vibrant downtown energy surrounds you. Enjoy seamless access to local favorites, from shopping at Oak Tree Plaza to peaceful strolls through the UC Davis Arboretum and Public Garden. Outdoor enthusiasts and cyclists alike will appreciate being just steps from the scenic bike trail along E Covell Boulevard. This is where convenience and connection come together effortlessly. Unit Highlights ✧ Kitchen Pantry ✧ Refrigerator ✧ Dishwasher ✧ Harwood Inspired Flooring ✧ Microwave ✧ Ceiling Fan ✧ Air Conditioner ✧ Large Closets Community Highlights ✧ BBQ/Picnic Area ✧ Laundry Facilities ✧ On-Site Maintenance ✧ Sparkling Pool ✧ On-Site Management ✧ Near Bike Path ✧ Near Public Transportation ✧ Online Resident Portal ✧ Fitness Center ✧ Available 24/7 Office Hours Monday-Friday: 9:00AM-6:00PM Saturday: 10:00AM-5:00PM Pet Policy Dogs & Cats Allowed Max 2 Allowed Rent $30 | Deposit $500 (1st pet), $250 (2nd pet) Comments: Breed restrictions apply. A deposit and rent charge is required for each pet. Equal Housing Opportunity ADOBHsg7mV2","rent period:, monthly, cats are OK - purrr, apartment, dogs are OK - wooof, laundry on site, off-street parking, air conditioning, 2BR / 1Ba, 800ft2",TRUE,TRUE,on-site,2026-03-07T13:10:29-0800,https://sacramento.craigslist.org/apa/d/davis-exceptional-br-apartment-near/7919772471.html
